neighbourhood,Aboriginal languages,Afrikaans,Afro-Asiatic languages,Akan (Twi),Albanian,Algonquian languages,American Sign Language,Amharic,Arabic,Armenian,Assyrian Neo-Aramaic,Athabaskan languages,Austro-Asiatic languages,"Austro-Asiatic languages, n.i.e",Austronesian languages,Azerbaijani,Babine (Wetsuwet'en),Baltic languages,Balto-Slavic languages,Bamanankan,Beaver,Belarusan,Bengali,Berber languages,Bikol,Bilen,Blackfoot,Bosnian,Bulgarian,Burmese,Cantonese,Carrier,Catalan,Cayuga,Cebuano,Celtic languages,Chaldean Neo-Aramaic,Chilcotin,Chinese languages,Comox,Cree-Montagnais languages,Creole languages,Croatian,Cushitic languages,Czech,Dakota,Danish,Dene,Dinka,Dogrib (Tlicho),Dravidian languages,Dutch,Eastern Algonquian languages,Edo,English,English and French,English and non-official language,"English, French and non-official language",Estonian,Ewe,Fijian,Finnish,French,French and non-official language,Frisian,"Fulah (Pular, Pulaar, Fulfulde)",Ga,Ganda,Georgian,German,Germanic languages,Gitxsan (Gitksan),Greek,Gujarati,Gwich'in,Haida,Haisla,Haitian Creole,Hakka,Halkomelem,Harari,Hebrew,Heiltsuk,Hiligaynon,Hindi,Hmong-Mien languages,Hungarian,Icelandic,Igbo,Ilocano,Indo-Aryan languages,Indo-European languages,Indo-Iranian languages,Inuinnaqtun (Inuvialuktun),Inuit languages,Inuktitut,Iranian languages,Iroquoian languages,Italian,Italic (Romance) languages,Japanese,Kabyle,Kannada,Karenic languages,Kartvelian languages,Kashmiri,Kaska (Nahani),Khmer (Cambodian),Kinyarwanda (Rwanda),Konkani,Korean,Kurdish,Kutenai,Kwakiutl (Kwak'wala),Lao,Latvian,Lillooet,Lingala,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Maltese,Mandarin,Marathi,Michif,Min Dong,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Mohawk,Mongolian,Mongolic languages,Mother tongue for the total population excluding institutional residents,Multiple responses,Nepali,Niger-Congo languages,Nilo-Saharan languages,Nisga'a,Non-Aboriginal languages,Non-official languages,North Slavey (Hare),Northern Athabaskan languages,Northern Tutchone,Norwegian,Nuu-chah-nulth (Nootka),Official languages,Ojibway-Potawatomi languages,Okanagan,Oneida,Oriya (Odia),Oromo,"Pampangan (Kapampangan, Pampango)",Pangasinan,Pashto,Persian (Farsi),Polish,Portuguese,Punjabi (Panjabi),Quebec Sign Language,Romanian,Rundi (Kirundi),Russian,Salish languages,Sarsi (Sarcee),Scottish Gaelic,Sekani,Semitic languages,Serbian,Serbo-Croatian,Shona,Shuswap (Secwepemctsin),Sign languages,"Sign languages, n.i.e",Sindhi,Single responses,Sinhala (Sinhalese),Sino-Tibetan languages,Siouan languages,Slavey-Hare languages,Slavic languages,Slovak,Slovene (Slovenian),Somali,South Slavey,Southern Tutchone,Spanish,Squamish,Stoney,Straits,Swahili,Swedish,"Tagalog (Pilipino, Filipino)",Tahltan,Tahltan languages,Tai-Kadai languages,"Tai-Kadai languages, n.i.e",Tamil,Telugu,Thai,Thompson (Ntlakapamux),Tibetan,Tibeto-Burman languages,Tigrigna,Tlingit,Tsimshian,Tsimshian languages,Turkic languages,Turkish,Tutchone languages,Ukrainian,Uralic languages,Urdu,Uyghur,Uzbek,Vietnamese,Vlaams (Flemish),Wakashan languages,Waray-Waray,Welsh,Wolof,Wu (Shanghainese),Yiddish,Yoruba
Kingsview Village-The Westway,5.0,0.0,2220.0,55.0,270.0,5.0,0.0,55.0,270.0,45.0,15.0,0.0,135.0,0.0,385.0,0.0,0.0,30.0,1140.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,10.0,15.0,5.0,120.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,300.0,0.0,0.0,145.0,140.0,1755.0,20.0,0.0,15.0,0.0,0.0,0.0,195.0,0.0,0.0,15.0,9675.0,65.0,985.0,20.0,10.0,0.0,0.0,5.0,265.0,50.0,0.0,5.0,0.0,20.0,0.0,115.0,140.0,0.0,110.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,225.0,0.0,175.0,5.0,15.0,40.0,1985.0,6735.0,2395.0,0.0,0.0,0.0,390.0,0.0,1195.0,2635.0,15.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,180.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,15.0,25.0,0.0,15.0,35.0,35.0,130.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,21990.0,1130.0,0.0,280.0,0.0,0.0,10925.0,10925.0,0.0,0.0,0.0,5.0,0.0,9945.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,25.0,365.0,410.0,390.0,320.0,0.0,75.0,0.0,120.0,0.0,0.0,0.0,0.0,445.0,50.0,20.0,5.0,0.0,0.0,5.0,35.0,20865.0,40.0,320.0,0.0,0.0,1120.0,25.0,20.0,1740.0,0.0,0.0,980.0,0.0,0.0,0.0,75.0,0.0,315.0,0.0,0.0,20.0,0.0,150.0,30.0,5.0,0.0,15.0,25.0,35.0,0.0,0.0,0.0,100.0,80.0,0.0,245.0,180.0,940.0,5.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,35.0
Kingsway South,0.0,5.0,35.0,0.0,15.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,25.0,0.0,55.0,0.0,0.0,55.0,720.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,75.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,110.0,0.0,0.0,0.0,50.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,7055.0,25.0,80.0,5.0,15.0,0.0,0.0,5.0,160.0,5.0,0.0,0.0,0.0,0.0,5.0,140.0,185.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,65.0,0.0,0.0,0.0,50.0,1485.0,65.0,0.0,0.0,0.0,20.0,0.0,225.0,450.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,30.0,0.0,0.0,5.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9275.0,125.0,0.0,0.0,0.0,0.0,1930.0,1930.0,0.0,0.0,0.0,0.0,0.0,7220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,175.0,110.0,10.0,0.0,15.0,0.0,70.0,0.0,0.0,0.0,0.0,45.0,70.0,0.0,0.0,0.0,0.0,5.0,0.0,9155.0,5.0,120.0,0.0,0.0,665.0,15.0,5.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,25.0,45.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,235.0,85.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
L'Amoreaux,0.0,5.0,1210.0,20.0,40.0,0.0,20.0,35.0,945.0,1755.0,30.0,0.0,150.0,0.0,1550.0,5.0,0.0,25.0,535.0,0.0,0.0,5.0,200.0,0.0,5.0,0.0,0.0,5.0,35.0,10.0,6415.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,14450.0,0.0,0.0,40.0,25.0,145.0,15.0,0.0,5.0,0.0,0.0,0.0,3080.0,30.0,0.0,0.0,13590.0,75.0,1820.0,80.0,25.0,0.0,0.0,30.0,325.0,30.0,0.0,10.0,5.0,0.0,10.0,130.0,160.0,0.0,740.0,450.0,0.0,0.0,0.0,0.0,185.0,0.0,10.0,0.0,0.0,25.0,200.0,0.0,70.0,0.0,5.0,55.0,1745.0,6875.0,2380.0,0.0,0.0,0.0,630.0,0.0,610.0,1265.0,55.0,5.0,15.0,0.0,10.0,0.0,0.0,5.0,0.0,45.0,215.0,50.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,150.0,0.0,65.0,235.0,0.0,7130.0,30.0,0.0,55.0,275.0,0.0,0.0,5.0,43960.0,1995.0,15.0,130.0,0.0,0.0,28070.0,28075.0,0.0,0.0,0.0,0.0,0.0,13900.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,50.0,550.0,60.0,115.0,115.0,0.0,170.0,5.0,110.0,0.0,0.0,0.0,0.0,1065.0,55.0,5.0,5.0,0.0,20.0,0.0,75.0,41970.0,125.0,14490.0,0.0,0.0,510.0,5.0,25.0,145.0,0.0,0.0,370.0,0.0,0.0,0.0,35.0,5.0,1365.0,0.0,0.0,25.0,5.0,2795.0,45.0,20.0,0.0,15.0,35.0,20.0,0.0,0.0,0.0,100.0,80.0,0.0,35.0,110.0,510.0,0.0,5.0,160.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,15.0
Lambton Baby Point,0.0,0.0,160.0,15.0,5.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,30.0,0.0,95.0,0.0,0.0,45.0,875.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,35.0,85.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,5330.0,25.0,190.0,10.0,35.0,0.0,0.0,0.0,150.0,25.0,0.0,0.0,0.0,5.0,0.0,80.0,110.0,0.0,45.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,125.0,0.0,5.0,5.0,50.0,1595.0,70.0,0.0,0.0,0.0,25.0,0.0,90.0,495.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,35.0,10.0,0.0,5.0,5.0,20.0,45.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7985.0,250.0,0.0,40.0,5.0,0.0,2250.0,2255.0,0.0,0.0,0.0,0.0,0.0,5485.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,25.0,240.0,135.0,10.0,0.0,40.0,0.0,105.0,0.0,0.0,0.0,0.0,70.0,85.0,10.0,0.0,0.0,0.0,0.0,0.0,7730.0,0.0,100.0,0.0,0.0,825.0,15.0,15.0,80.0,0.0,0.0,225.0,0.0,0.0,0.0,10.0,5.0,75.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,20.0,0.0,280.0,150.0,10.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
Lansing-Westgate,5.0,0.0,290.0,0.0,10.0,0.0,0.0,10.0,170.0,30.0,5.0,0.0,50.0,0.0,730.0,10.0,0.0,30.0,1150.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,455.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1365.0,0.0,0.0,15.0,15.0,5.0,20.0,0.0,5.0,0.0,0.0,0.0,120.0,20.0,5.0,0.0,8275.0,20.0,445.0,10.0,20.0,0.0,0.0,20.0,185.0,10.0,0.0,0.0,0.0,0.0,25.0,80.0,170.0,0.0,105.0,40.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,95.0,0.0,5.0,85.0,0.0,140.0,0.0,0.0,35.0,295.0,3520.0,1215.0,0.0,0.0,0.0,925.0,0.0,165.0,830.0,50.0,0.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,10.0,775.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,15.0,25.0,0.0,15.0,5.0,5.0,810.0,20.0,0.0,0.0,35.0,0.0,0.0,10.0,16160.0,495.0,0.0,10.0,0.0,0.0,7210.0,7205.0,0.0,0.0,0.0,5.0,0.0,8460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,925.0,85.0,135.0,20.0,0.0,155.0,0.0,735.0,0.0,0.0,0.0,0.0,295.0,40.0,5.0,0.0,0.0,0.0,0.0,10.0,15660.0,10.0,1365.0,0.0,0.0,1115.0,10.0,10.0,5.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,10.0,635.0,0.0,0.0,10.0,0.0,55.0,45.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,60.0,45.0,0.0,75.0,175.0,50.0,0.0,0.0,40.0,5.0,0.0,5.0,0.0,0.0,30.0,45.0,0.0
Lawrence Park North,0.0,5.0,75.0,0.0,15.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,35.0,0.0,145.0,0.0,0.0,30.0,480.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,25.0,5.0,325.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,30.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,11260.0,40.0,160.0,10.0,20.0,0.0,0.0,15.0,240.0,10.0,0.0,0.0,0.0,0.0,0.0,135.0,185.0,0.0,145.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,0.0,25.0,0.0,70.0,0.0,0.0,5.0,90.0,1610.0,295.0,0.0,0.0,0.0,190.0,0.0,170.0,470.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,35.0,0.0,10.0,0.0,5.0,240.0,5.0,0.0,0.0,25.0,0.0,0.0,0.0,14605.0,205.0,5.0,5.0,0.0,0.0,2900.0,2905.0,0.0,0.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,70.0,60.0,10.0,0.0,50.0,0.0,155.0,0.0,0.0,0.0,0.0,70.0,50.0,10.0,0.0,0.0,0.0,0.0,5.0,14395.0,0.0,615.0,0.0,0.0,440.0,5.0,20.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,5.0,140.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,40.0,35.0,0.0,20.0,110.0,20.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Lawrence Park South,0.0,0.0,105.0,0.0,35.0,0.0,5.0,0.0,35.0,30.0,0.0,0.0,20.0,0.0,235.0,0.0,0.0,25.0,445.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,0.0,205.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,435.0,0.0,0.0,5.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,0.0,0.0,12020.0,55.0,165.0,15.0,50.0,5.0,0.0,10.0,270.0,10.0,0.0,0.0,0.0,0.0,5.0,105.0,175.0,0.0,90.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,35.0,5.0,0.0,15.0,100.0,1520.0,300.0,0.0,0.0,0.0,205.0,0.0,160.0,440.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,115.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0,10.0,0.0,5.0,210.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,15185.0,245.0,0.0,5.0,0.0,0.0,2650.0,2650.0,0.0,0.0,0.0,0.0,0.0,12285.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,210.0,55.0,50.0,10.0,0.0,45.0,0.0,185.0,0.0,0.0,0.0,0.0,95.0,65.0,0.0,0.0,0.0,5.0,0.0,5.0,14940.0,0.0,445.0,0.0,0.0,425.0,15.0,5.0,5.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,60.0,70.0,0.0,35.0,95.0,20.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0
Leaside-Bennington,0.0,0.0,90.0,0.0,30.0,0.0,0.0,5.0,65.0,25.0,5.0,0.0,30.0,0.0,150.0,0.0,0.0,25.0,440.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,270.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,25.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,15.0,45.0,0.0,0.0,13450.0,40.0,200.0,20.0,45.0,0.0,0.0,30.0,290.0,10.0,0.0,0.0,0.0,0.0,0.0,140.0,220.0,0.0,185.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,10.0,0.0,75.0,0.0,0.0,5.0,105.0,1625.0,270.0,0.0,0.0,0.0,170.0,0.0,140.0,480.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,5.0,45.0,0.0,15.0,10.0,0.0,160.0,10.0,0.0,0.0,20.0,0.0,5.0,0.0,16690.0,270.0,5.0,10.0,0.0,0.0,2695.0,2685.0,0.0,0.0,0.0,5.0,0.0,13730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,65.0,85.0,20.0,0.0,45.0,0.0,90.0,0.0,0.0,0.0,0.0,85.0,85.0,5.0,0.0,0.0,0.0,0.0,0.0,16430.0,5.0,450.0,0.0,0.0,415.0,20.0,15.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,5.0,10.0,120.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,35.0,0.0,30.0,140.0,25.0,0.0,0.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Portugal,0.0,0.0,130.0,5.0,10.0,0.0,0.0,20.0,60.0,5.0,0.0,0.0,220.0,0.0,120.0,0.0,0.0,15.0,350.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,670.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1000.0,0.0,0.0,5.0,30.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,9390.0,75.0,385.0,15.0,5.0,0.0,0.0,5.0,250.0,15.0,0.0,0.0,0.0,0.0,0.0,55.0,85.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,35.0,0.0,5.0,5.0,95.0,3570.0,180.0,0.0,0.0,0.0,65.0,0.0,160.0,2915.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,90.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,10.0,235.0,5.0,0.0,0.0,50.0,0.0,0.0,0.0,15440.0,485.0,0.0,25.0,0.0,0.0,5305.0,5315.0,0.0,0.0,0.0,5.0,0.0,9645.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,65.0,120.0,2385.0,10.0,0.0,25.0,0.0,75.0,0.0,0.0,0.0,0.0,120.0,25.0,10.0,5.0,0.0,0.0,0.0,0.0,14965.0,5.0,1000.0,0.0,0.0,340.0,10.0,0.0,15.0,0.0,0.0,360.0,0.0,0.0,0.0,5.0,5.0,110.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,5.0,10.0,10.0,0.0,0.0,0.0,15.0,10.0,0.0,60.0,45.0,40.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Long Branch,0.0,0.0,95.0,5.0,45.0,0.0,0.0,15.0,50.0,5.0,10.0,0.0,70.0,0.0,300.0,0.0,0.0,30.0,1335.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,45.0,0.0,50.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,165.0,0.0,0.0,5.0,30.0,0.0,20.0,0.0,5.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,6540.0,35.0,225.0,10.0,15.0,0.0,0.0,5.0,145.0,0.0,0.0,5.0,0.0,5.0,5.0,95.0,135.0,0.0,45.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,35.0,0.0,45.0,5.0,5.0,5.0,110.0,2265.0,165.0,0.0,0.0,0.0,55.0,0.0,100.0,545.0,10.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,30.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,10.0,0.0,15.0,5.0,5.0,90.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10085.0,275.0,5.0,25.0,0.0,0.0,3125.0,3125.0,0.0,0.0,0.0,0.0,0.0,6680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,595.0,155.0,20.0,0.0,25.0,0.0,165.0,0.0,0.0,5.0,0.0,85.0,140.0,10.0,0.0,0.0,0.0,0.0,0.0,9810.0,0.0,230.0,0.0,0.0,1310.0,35.0,10.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,5.0,270.0,0.0,0.0,5.0,0.0,15.0,15.0,0.0,0.0,65.0,70.0,5.0,0.0,0.0,0.0,10.0,10.0,0.0,235.0,65.0,20.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
Malvern,5.0,10.0,650.0,60.0,20.0,0.0,0.0,110.0,365.0,15.0,10.0,0.0,155.0,0.0,2955.0,5.0,0.0,5.0,305.0,5.0,0.0,0.0,545.0,5.0,30.0,0.0,0.0,0.0,5.0,5.0,1710.0,0.0,0.0,0.0,105.0,10.0,0.0,0.0,2825.0,0.0,5.0,85.0,5.0,90.0,60.0,0.0,0.0,0.0,0.0,0.0,5635.0,15.0,0.0,10.0,21045.0,70.0,2155.0,50.0,0.0,5.0,0.0,10.0,305.0,55.0,0.0,0.0,0.0,5.0,0.0,45.0,90.0,0.0,75.0,1595.0,0.0,0.0,0.0,5.0,80.0,0.0,20.0,0.0,0.0,15.0,400.0,0.0,40.0,0.0,30.0,140.0,5705.0,7295.0,6195.0,0.0,0.0,0.0,470.0,0.0,80.0,620.0,10.0,5.0,15.0,0.0,0.0,0.0,0.0,5.0,5.0,20.0,60.0,10.0,0.0,0.0,20.0,5.0,0.0,10.0,0.0,45.0,0.0,40.0,125.0,0.0,850.0,45.0,0.0,0.0,60.0,0.0,5.0,5.0,43780.0,2325.0,10.0,255.0,0.0,0.0,20105.0,20120.0,0.0,0.0,0.0,0.0,0.0,21335.0,10.0,0.0,0.0,5.0,0.0,25.0,10.0,150.0,300.0,115.0,95.0,695.0,0.0,35.0,0.0,30.0,0.0,0.0,0.0,0.0,535.0,15.0,0.0,5.0,0.0,10.0,20.0,45.0,41445.0,135.0,2840.0,0.0,0.0,295.0,5.0,5.0,80.0,0.0,0.0,420.0,0.0,0.0,0.0,40.0,5.0,2605.0,0.0,0.0,25.0,0.0,5465.0,40.0,10.0,0.0,10.0,15.0,20.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,55.0,2205.0,5.0,5.0,165.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0
Maple Leaf,5.0,0.0,80.0,20.0,25.0,0.0,0.0,15.0,30.0,5.0,5.0,0.0,175.0,0.0,915.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,75.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,95.0,0.0,0.0,5.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,130.0,10.0,0.0,0.0,3835.0,30.0,550.0,5.0,0.0,0.0,0.0,0.0,35.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,0.0,65.0,365.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,25.0,70.0,0.0,25.0,0.0,10.0,110.0,585.0,4030.0,620.0,0.0,0.0,0.0,35.0,0.0,1895.0,3125.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,10.0,25.0,5.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,10025.0,590.0,0.0,35.0,0.0,0.0,5555.0,5570.0,0.0,0.0,0.0,0.0,0.0,3875.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,20.0,35.0,600.0,70.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9440.0,5.0,105.0,0.0,0.0,150.0,5.0,5.0,10.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0,100.0,15.0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,40.0,35.0,0.0,40.0,35.0,50.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markland Wood,0.0,0.0,100.0,0.0,60.0,0.0,0.0,0.0,65.0,0.0,5.0,0.0,30.0,0.0,110.0,0.0,0.0,65.0,2330.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,45.0,115.0,0.0,85.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,260.0,0.0,0.0,0.0,90.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,5880.0,25.0,225.0,10.0,15.0,0.0,0.0,5.0,125.0,10.0,0.0,0.0,0.0,0.0,5.0,110.0,140.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,70.0,0.0,0.0,5.0,80.0,3320.0,110.0,0.0,0.0,0.0,35.0,0.0,205.0,600.0,15.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,155.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,50.0,100.0,0.0,0.0,5.0,30.0,150.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,10460.0,280.0,0.0,5.0,0.0,0.0,4175.0,4175.0,0.0,0.0,0.0,0.0,0.0,6005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,420.0,160.0,5.0,0.0,60.0,0.0,145.0,0.0,0.0,0.0,0.0,100.0,755.0,50.0,0.0,0.0,5.0,0.0,0.0,10180.0,0.0,275.0,0.0,0.0,2275.0,40.0,40.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,5.0,0.0,95.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,20.0,5.0,0.0,0.0,0.0,30.0,25.0,0.0,450.0,90.0,20.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
